PhonStrsDISC	Word Mann	InitGramCat	Gram Categories	Open/Closed	Word
§o .n@	2570	C	CONJ	Closed	ohne
§kam	2528	V	VERB	Open	kam
§kO .m@n	2467	V	VERB	Open	kommen
§dXJ .l&nt	2466	N	NOM	Open	Deutschland
§zOl .t@	2465	V	VERB	Open	sollte
.da §mIt	2444	C	CONJ	Closed	damit
.da §mIt	2444	ADV	ADV	Open	damit
§gap	2438	V	VERB	Open	gab
§hE .t@	2432	V	VERB	Open	haette
.bIs §heɐ	2423	ADV	ADV	Open	bisher
§kOmt	2418	V	VERB	Open	kommt
§=vaɐ	2413	ADV	ADV	Open	zwar
.da §rBf	2381	ADV	ADV	Open	darauf
§vOl .t@	2375	V	VERB	Open	wollte
§Stet	2329	V	VERB	Open	steht
§fiɐ	2250	NUM	DET	Open	vier
.zo §vi	2239	C	CONJ	Closed	sowie
§fi .l@	2225	PRON	PRO	Closed	viele
§zO .l@n	2217	V	VERB	Open	sollen
.b@ §zOn .dɐs	2197	ADV	ADV	Open	besonders
.Ent §vI .klUN	2182	N	NOM	Open	Entwicklung
§ze .@n	2175	V	VERB	Open	sehen
§je .dɐ	2175	PRON	PRO	Closed	jeder
§veɐ .d@	2174	V	VERB	Open	werde
§&p	2171	PREP	PRE	Closed	ab
§&p	2171	ADV	ADV	Open	ab
§vol	2152	ADV	ADV	Open	wohl
§j& .nu .aɐ	2147	N	NOM	Open	Januar
§bIn	2146	V	VERB	Open	bin
§dX .J@	2134	A	ADJ	Open	deutsche
.mI .li §o .n@n	2131	N	NOM	Open	Millionen
§En .d@	2128	N	NOM	Open	Ende
§mal	2117	ADV	ADV	Open	mal
§dis	2098	PRON	PRO	Closed	dies
.da §fOn	2090	ADV	ADV	Open	davon
.g@ §ve .z@n	2083	V	VERB	Open	gewesen
§zW .n@n	2082	PRON	PRO	Closed	seinen
§zW .n@n	2082	PRON	PRO	Closed	seinen
§zElpst	2071	PRON	PRO	Closed	selbst
§zElpst	2071	ADV	ADV	Open	selbst
.p&r §tW	2067	N	NOM	Open	Partei
.da §fyɐ	2059	ADV	ADV	Open	dafuer
§bUn .d@s .re .pu .blik	2058	N	NOM	Open	Bundesrepublik
§tWl	2042	N	NOM	Open	Teil
.po .li §tik	2033	N	NOM	Open	Politik
.n& §tyɐ .lIç	2008	A	ADJ	Open	natuerlich
§mW	2008	N	NOM	Open	Mai
§Ste .@n	2002	V	VERB	Open	stehen
§m|k .lIç	1976	A	ADJ	Open	moeglich
§gIN	1972	V	VERB	Open	ging
§mUs .t@	1936	V	VERB	Open	musste
§k/n .t@	1926	V	VERB	Open	koennte
§i .r@	1913	PRON	PRO	Closed	ihre
§i .r@	1913	PRON	PRO	Closed	ihre
§i .r@	1913	PRON	PRO	Closed	ihre
§i .r@	1913	PRON	PRO	Closed	ihre
§d&rf	1895	V	VERB	Open	darf
§ju .li	1894	N	NOM	Open	Juli
§St&t	1889	N	NOM	Open	Stadt
§h&nt	1879	N	NOM	Open	Hand
§bW .Spil	1875	N	NOM	Open	Beispiel
§Sta .t@n	1875	N	NOM	Open	Staaten
.=u §rYk	1862	ADV	ADV	Open	zurueck
.da §ry .bɐ	1858	ADV	ADV	Open	darueber
§ge .b@n	1838	V	VERB	Open	geben
§nX .@n	1836	A	ADJ	Open	neuen
§nX .@n	1836	N	NOM	Open	neuen
§ve .g@n	1833	PREP	PRE	Closed	wegen
§zOl .ç@	1826	A	ADJ	Open	solche
§likt	1824	V	VERB	Open	liegt
§ni	1800	ADV	ADV	Open	nie
§vo	1789	C	CONJ	Closed	wo
§vo	1789	ADV	ADV	Open	wo
.zO §vjEt .u .ni .on	1775	N	NOM	Open	Sowjetunion
§eɐ .st@n	1769	NUM	DET	Open	ersten
§eɐ .st@n	1769	A	ADJ	Open	ersten
§nWn	1764	ADV	ADV	Open	nein
.g@ §m&xt	1762	V	VERB	Open	gemacht
§zWt	1748	PREP	PRE	Closed	seit
§zWt	1748	ADV	ADV	Open	seit
§tak	1737	N	NOM	Open	Tag
§vI .s@n	1733	V	VERB	Open	wissen
§lis	1722	V	VERB	Open	liess
§la .g@	1720	N	NOM	Open	Lage
.re .pU §blik	1713	N	NOM	Open	Republik
§mEr=	1711	N	NOM	Open	Maerz
.zo §gaɐ	1710	ADV	ADV	Open	sogar
§ta .g@	1704	N	NOM	Open	Tage
.y .b@r §hBpt	1685	ADV	ADV	Open	ueberhaupt
§tun	1671	V	VERB	Open	tun
.g@ §zakt	1667	V	VERB	Open	gesagt
§zW .n@m	1658	PRON	PRO	Closed	seinem
§zW .n@m	1658	PRON	PRO	Closed	seinem
§vek	1654	N	NOM	Open	Weg
§fYnf	1633	NUM	DET	Open	fuenf
§mEnS	1632	N	NOM	Open	Mensch
§za	1627	V	VERB	Open	sah
§art	1623	N	NOM	Open	Art
§vW .t@ .r@	1620	A	ADJ	Open	weitere
§fra .g@n	1615	N	NOM	Open	Fragen
§dEs §h&lp	1612	ADV	ADV	Open	deshalb
§W .n@s	1607	ART	DET	Closed	eines
§W .n@s	1607	PRON	PRO	Closed	eines
§W .n@s	1607	NUM	DET	Open	eines
§W .n@s	1607	NUM	DET	Open	eines
.zo .=i .& §lIs .tI .S@n	1603	A	ADJ	Open	sozialistischen
.g@ §vOr .d@n	1600	V	VERB	Open	geworden
§kBm	1599	ADV	ADV	Open	kaum
§mYn .ç@n	1581	N	NOM	Open	Muenchen
§Un .z@ .rɐ	1578	PRON	PRO	Closed	unserer
§Un .z@ .rɐ	1578	PRON	PRO	Closed	unserer
§g&n .=@	1575	A	ADJ	Open	ganze
§ju .ni	1574	N	NOM	Open	Juni
§k&m+	1565	N	NOM	Open	Kampf
§fe .bru .aɐ	1555	N	NOM	Open	Februar
§vW .tɐ	1534	A	ADJ	Open	weiter
.g@ §SIç .t@	1534	N	NOM	Open	Geschichte
§vW .tɐ	1534	ADV	ADV	Open	weiter
§ne .b@n	1533	PREP	PRE	Closed	neben
§lEst	1530	V	VERB	Open	laesst
.po §li .tI .S@n	1527	A	ADJ	Open	politischen
§vIrk .lIç	1526	A	ADJ	Open	wirklich
.=u §z& .m@n	1518	ADV	ADV	Open	zusammen
.zEp §tEm .bɐ	1509	N	NOM	Open	September
§ne .m@n	1502	V	VERB	Open	nehmen
.de §=Em .bɐ	1501	N	NOM	Open	Dezember
§&l .t@n	1490	A	ADJ	Open	alten
§hIn	1486	ADV	ADV	Open	hin
§glWç	1477	A	ADJ	Open	gleich
.& .me .ri §ka .nI .S@n	1469	A	ADJ	Open	amerikanischen
§B .g@n	1465	N	NOM	Open	Augen
§& .l@r §dINs	1461	ADV	ADV	Open	allerdings
.p& §ris	1450	N	NOM	Open	Paris
§da .mals	1445	ADV	ADV	Open	damals
.zo §fOrt	1445	ADV	ADV	Open	sofort
§lE= .t@n	1442	A	ADJ	Open	letzten
§lE= .t@n	1442	A	ADJ	Open	letzten
§Slis .lIç	1441	ADV	ADV	Open	schliesslich
§l& .s@n	1439	V	VERB	Open	lassen
§l& .s@n	1439	A	ADJ	Open	lassen
§St&nt	1435	V	VERB	Open	stand
§g&n .=@n	1435	A	ADJ	Open	ganzen
§m&xt	1432	V	VERB	Open	macht
.& §prIl	1430	N	NOM	Open	April
§blW .b@n	1428	V	VERB	Open	bleiben
§grUnt	1425	N	NOM	Open	Grund
§&r .bW .tɐ	1423	N	NOM	Open	Arbeiter
§vYr .d@n	1422	V	VERB	Open	wuerden
§rUnt	1420	A	ADJ	Open	rund
§=vW .t@n	1415	NUM	DET	Open	zweiten
§fEst	1407	A	ADJ	Open	fest
§l&nt	1405	N	NOM	Open	Land
§ge .@n	1404	V	VERB	Open	gehen
§bI .t@	1394	V	VERB	Open	bitte
§Un .z@ .r@	1391	PRON	PRO	Closed	unsere
§Un .z@ .r@	1391	PRON	PRO	Closed	unsere
§n)ç .st@n	1389	A	ADJ	Open	naechsten
.g@ §zEl .S&ft	1379	N	NOM	Open	Gesellschaft
§Wn .f&x	1376	A	ADJ	Open	einfach
